Judy:阿桑
Aya:阿雅
Echo:艾可
Sky Ng:伍思凯
Danny Summer:夏韶声
Chi Lee:萧亮
Edwin Siu:萧正楠
Nicholas Tse:谢霆锋
Long Sing:辛隆
Panda Xiong:熊天平
Jen Xu:徐仁修
Peco Chui:徐伟贤
Sam Hsu:许冠杰
Ambrose Hsu:许绍洋
Andy Hui:许志安
Yu Xue:薛岳
Jerry Yen:言承旭
Welly Yang:杨呈伟
Jeremy Yang:杨家成
Wing Yip:叶世荣
Barry Yip:叶文辉
Zion Yeh:叶锡安
Qi Yi:易齐
Bang Yong:永邦
Chris, Yu Yu:游鸿明
Tin Yu:余天
Shawn Yue:余文乐
Harlem Yu:庾澄庆
Wei Yuan:袁惟仁
Bob Zhang:张博
Andrew Cheung:张崇基
X-Large Cheung:张德豪
Daniel Cheung:张峰奇
Leslie Cheung:张国荣
Hung-Liang Chang:张洪量
Nick Cheung:张家辉
Hins Cheung:张敬轩
Juelong Cheun:张觉隆
Johnathan Cheung:张克帆
Lap Cheung:张立基
Ming Cheung:张明敏
Shan Zhang:张善为
Donald Cheung:张伟文
Dicky Cheung:张卫健
Vincent Cheung:张文森
Jeff Chang:张信哲
Jacky Cheung:张学友
Phil Chang:张雨生
Csun Chang:张震岳
Z.Chen Cheng:张智成
ChiLam Cheung:张智霖
Eric Chang:张中立
Chuan Chao:赵传
Joe Cheng:郑敬基
Michael Zhen:郑钧
Adam Cheng:郑少秋
Ekin Cheng:郑伊健
Ronald Cheng:郑中基
Wallace Chung:钟汉良
Bee Chung:钟镇涛
Steve Chow:周治平
Endy Chow:周国贤
Emil Chau:周华健
Jay Chow:周杰伦
Lawrence Chow:周俊伟
Andrew Chou:周立铭
Kai Chow:周启生
Roy Chow:周永恒
Vic Chou:周渝民
Kay Tse:谢安琪
Hikaru Utada:宇多田光
Takako Matsu:松隆子
Ikimonogakari:生物股长
Sam Hui:许冠杰
